MBK番号,標本番号,Family,和名,学名,ラベル産地,採集日
MBK-0019671,M38-086,Lycopodiaceae,ミズスギ,Lycopodium cernuum L.,高知県高知市初月,1938/6/19
MBK-0019673,M41-348,Lycopodiaceae,ミズスギ,Lycopodium cernuum L.,高知県高知市潮江（山）,1941/12/24
MBK-0048091,6744,Lycopodiaceae,ミズスギ,Lycopodium cernuum L.,高知県高知市神田（高座）,1991/2/17
MBK-0137906,FOK-013158,Lycopodiaceae,ミズスギ,Lycopodium cernuum L.,高知市治国谷,2002/4/14
MBK-0257389,FOS-007278,Lycopodiaceae,ヒカゲノカズラ,Lycopodium clavatum L.,高知県高知市鏡小浜,2014/4/18
MBK-0019697,6493,Lycopodiaceae,ヒカゲノカズラ,Lycopodium clavatum L. var. nipponicum Nakai,高知県土佐郡土佐山村工石山（城～工石山～城）,1990/9/9
MBK-0019698,9315,Lycopodiaceae,ヒカゲノカズラ,Lycopodium clavatum L. var. nipponicum Nakai,高知県高知市神田（石槌神社）,1994/7/2
MBK-0116948,FOK-607400,Lycopodiaceae,ヒカゲノカズラ,Lycopodium clavatum L. var. nipponicum Nakai,土佐郡土佐山村工石山,2001/6/16
MBK-0139038,FOK-001875,Lycopodiaceae,ヒカゲノカズラ,Lycopodium clavatum L. var. nipponicum Nakai,土佐郡土佐山村運動公園,2001/7/28
MBK-0137785,FOK-011662,Lycopodiaceae,ヒカゲノカズラ,Lycopodium clavatum L. var. nipponicum Nakai,高知市土佐塾高校,2001/7/29
MBK-0107604,FOK-802049,Lycopodiaceae,エゾヒカゲノカズラ,Lycopodium clavatum L. var. robustum (Hook. et Grev.) Nakai,土佐郡土佐山村横平,2002/6/29
MBK-0127293,FOK-612393,Lycopodiaceae,マンネンスギ,Lycopodium obscurum L.,高知県土佐山村 工石山,2004/7/13
MBK-0299219,FOK-008797,Lycopodiaceae,トウゲシバ,Lycopodium serratum Thunb.,高知市荒倉神社周辺,2001/9/2
MBK-0299071,FOK-009717,Lycopodiaceae,トウゲシバ,Lycopodium serratum Thunb.,高知市尾立,2002/1/13
MBK-0299069,FOK-009721,Lycopodiaceae,トウゲシバ,Lycopodium serratum Thunb.,高知市尾立,2002/1/13
MBK-0299938,FOK-011604,Lycopodiaceae,トウゲシバ,Lycopodium serratum Thunb.,高知市神田トンネル北,2001/7/1
MBK-0156498,30965,Lycopodiaceae,ヒロハノトウゲシバ,Lycopodium serratum Thunb. var. intermedium (Nakai) Miyabe et Kudo,高知市大津関,1983/11/6
MBK-0156544,38252,Lycopodiaceae,ヒロハノトウゲシバ,Lycopodium serratum Thunb. var. intermedium (Nakai) Miyabe et Kudo,土佐郡鏡村貞永～杉谷,1986/11/2
MBK-0019725,7302,Lycopodiaceae,ヒロハノトウゲシバ,Lycopodium serratum Thunb. var. intermedium (Nakai) Miyabe et Kudo,高知県高知市朝倉神社,1991/10/20
MBK-0157964,1559,Lycopodiaceae,ヒロハノトウゲシバ,Lycopodium serratum Thunb. var. intermedium (Nakai) Miyabe et Kudo,高知市神田,1967/4/20
MBK-0174958,M97-332,Lycopodiaceae,ヒロハノトウゲシバ,Lycopodium serratum Thunb. var. intermedium (Nakai) Miyabe et Kudo,高知県鏡村,1997/10/23
MBK-0101252,FOK-800580,Lycopodiaceae,ヒロハノトウゲシバ,Lycopodium serratum Thunb. var. intermedium (Nakai) Miyabe et Kudo,高知市柴巻,2001/11/23
MBK-0115564,s.n.,Lycopodiaceae,ヒロハノトウゲシバ,Lycopodium serratum Thunb. var. intermedium (Nakai) Miyabe et Kudo,高知県吾川郡春野町弘岡中荒倉,1977/11/7
MBK-0001094,20177,Lycopodiaceae,ヒロハノトウゲシバ,Lycopodium serratum Thunb. var. intermedium (Nakai) Miyabe et Kudo,高知県高知市筆山から皿が峰,2000/7/7
MBK-0102050,FOK-805156,Lycopodiaceae,ヒロハノトウゲシバ,Lycopodium serratum Thunb. var. intermedium (Nakai) Miyabe et Kudo,吾川郡春野町仁野,2003/3/29
MBK-0051007,6730,Lycopodiaceae,ヒロハノトウゲシバ,Lycopodium serratum Thunb. var. intermedium (Nakai) Miyabe et Kudo,高知県高知市神田（高座）,1991/2/17
MBK-0298478,FOK-001668,Lycopodiaceae,ヒロハノトウゲシバ,Lycopodium serratum Thunb. var. intermedium (Nakai) Miyabe et Kudo,高知市(旧土佐山村),2001/7/14
MBK-0255988,FOS-006776,Lycopodiaceae,ヒロハノトウゲシバ,Lycopodium serratum Thunb. var. intermedium (Nakai) Miyabe et Kudo,高知県高知市七ツ淵,2014/6/23
MBK-0156516,2640,Lycopodiaceae,ホソバトウゲシバ,Lycopodium serratum Thunb. var. serratum,土佐郡土佐山村桑尾,1969/10/19
MBK-0156468,8010,Lycopodiaceae,ホソバトウゲシバ,Lycopodium serratum Thunb. var. serratum,高知市行川,1977/3/13
MBK-0156475,7949,Lycopodiaceae,ホソバトウゲシバ,Lycopodium serratum Thunb. var. serratum,土佐郡鏡村柿ノ又,1977/3/13
